level_0,Time,C6_avg,psi6,V,S-2,S-1,S0
359,459.9999,3.20667,0.0782,2.0,0.0,0.0,0.0
360,469.9999,3.22667,0.1149,2.0,0.0,0.0,0.0
362,489.9999,3.18,0.05334,2.0,0.0,0.0,0.0
363,499.9999,3.16667,0.07537999999999999,2.0,0.0,0.0,0.0
371,579.9999,2.88,0.11844,2.0,0.0,0.0,0.0
372,589.9999,3.20667,0.07553,2.0,0.0,0.0,0.0
373,599.9999,3.16667,0.02526,2.0,0.0,0.0,0.0
374,609.9999,3.24667,0.12128,2.0,0.0,0.0,0.0
377,639.9999,3.02,0.18039,2.0,0.0,0.0,0.0
378,649.9999,3.1266700000000003,0.10984,2.0,0.0,0.0,0.0
382,689.9999,3.16,0.10793,2.0,0.0,0.0,0.0
383,699.9999,3.17333,0.10194,2.0,0.0,0.0,0.0
384,709.9999,3.22,0.0755,2.0,0.0,0.0,0.0
385,719.9999,3.02,0.01177,2.0,0.0,0.0,0.0
386,729.9999,3.23333,0.08544,2.0,0.0,0.0,0.0
387,739.9999,3.18,0.053979999999999986,2.0,0.0,0.0,0.0
390,769.9999,3.22667,0.17326,2.0,0.0,0.0,0.0
392,789.9999,3.1,0.09522,2.0,0.0,0.0,0.0
393,799.9999,3.27333,0.07162,2.0,0.0,0.0,0.0
398,849.9999,3.13333,0.18199,2.0,0.0,0.0,0.0
399,859.9999,2.97333,0.13318,2.0,0.0,0.0,0.0
402,889.9999,3.04,0.15937,2.0,0.0,0.0,0.0
403,899.9999,3.18667,0.12992,2.0,0.0,0.0,0.0
405,109.9999,3.90667,0.28379,2.0,1.0,0.0,0.0
406,119.9999,3.68,0.21746,2.0,1.0,0.0,0.0
411,169.9999,3.4733300000000003,0.20433,2.0,1.0,0.0,0.0
415,209.9999,3.32,0.20527,2.0,0.0,0.0,0.0
416,219.9999,3.39333,0.23835,2.0,0.0,0.0,0.0
419,249.9999,3.44,0.29869,2.0,0.0,0.0,0.0
420,259.9999,3.24,0.30124,2.0,0.0,0.0,0.0
421,269.9999,3.4933300000000003,0.35039000000000003,2.0,0.0,0.0,0.0
424,299.9999,3.25333,0.28256,2.0,0.0,0.0,0.0
428,339.9999,3.22667,0.13247,2.0,0.0,0.0,0.0
433,389.9999,3.27333,0.25992,2.0,0.0,0.0,0.0
434,399.9999,3.42,0.17634,2.0,0.0,0.0,0.0
436,419.9999,3.07333,0.05459,2.0,0.0,0.0,0.0
437,429.9999,3.05333,0.13034,2.0,0.0,0.0,0.0
439,449.9999,3.04,0.03342,2.0,0.0,0.0,0.0
442,479.9999,3.02667,0.015069999999999997,2.0,0.0,0.0,0.0
443,489.9999,2.94,0.04987,2.0,0.0,0.0,0.0
446,519.9999,3.06667,0.10601,2.0,0.0,0.0,0.0
448,539.9999,3.1,0.11996,2.0,0.0,0.0,0.0
449,549.9999,3.29333,0.19509,2.0,0.0,0.0,0.0
452,579.9999,3.18,0.21676,2.0,0.0,0.0,0.0
453,589.9999,3.40667,0.27394,2.0,0.0,0.0,0.0
455,609.9999,3.43333,0.29698,2.0,0.0,0.0,0.0
456,619.9999,3.2866699999999995,0.29395,2.0,0.0,0.0,0.0
459,649.9999,3.33333,0.21813,2.0,0.0,0.0,0.0
461,669.9999,3.12,0.23382,2.0,0.0,0.0,0.0
463,689.9999,3.08667,0.21434,2.0,0.0,0.0,0.0
466,719.9999,3.48,0.27451,2.0,0.0,0.0,0.0
468,739.9999,3.31333,0.27833,2.0,0.0,0.0,0.0
471,769.9999,3.54667,0.40006,2.0,0.0,0.0,0.0
472,779.9999,3.32667,0.35839,2.0,0.0,0.0,0.0
475,809.9999,3.64,0.34597,2.0,0.0,0.0,0.0
476,819.9999,3.42,0.24593,2.0,0.0,0.0,0.0
477,829.9999,3.33333,0.22402,2.0,0.0,0.0,0.0
478,839.9999,3.27333,0.15743,2.0,0.0,0.0,0.0
479,849.9999,3.36667,0.25544,2.0,0.0,0.0,0.0
481,869.9999,3.22667,0.23175,2.0,0.0,0.0,0.0
482,879.9999,3.30667,0.2519,2.0,0.0,0.0,0.0
484,899.9999,3.21333,0.21166,2.0,0.0,0.0,0.0
485,99.9999,3.70667,0.16042,2.0,1.0,0.0,0.0
486,109.9999,3.72667,0.20746,2.0,1.0,0.0,0.0
489,139.9999,3.48667,0.25121,2.0,1.0,0.0,0.0
492,169.9999,3.42667,0.14362,2.0,0.0,0.0,0.0
493,179.9999,3.38667,0.15595,2.0,0.0,0.0,0.0
494,189.9999,3.48,0.23973000000000005,2.0,0.0,0.0,0.0
495,199.9999,3.34,0.23596,2.0,0.0,0.0,0.0
500,249.9999,3.42,0.18577,2.0,0.0,0.0,0.0
501,259.9999,3.24667,0.22537,2.0,0.0,0.0,0.0
505,299.9999,3.02,0.15541,2.0,0.0,0.0,0.0
507,319.9999,3.28,0.19344,2.0,0.0,0.0,0.0
508,329.9999,3.17333,0.30001,2.0,0.0,0.0,0.0
509,339.9999,3.06,0.23818000000000006,2.0,0.0,0.0,0.0
510,349.9999,3.28,0.25317,2.0,0.0,0.0,0.0
512,369.9999,3.1066700000000003,0.1827,2.0,0.0,0.0,0.0
513,379.9999,3.36667,0.22041,2.0,0.0,0.0,0.0
514,389.9999,3.24667,0.1985,2.0,0.0,0.0,0.0
516,409.9999,3.29333,0.17490999999999998,2.0,0.0,0.0,0.0
518,429.9999,3.24,0.20797,2.0,0.0,0.0,0.0
519,439.9999,3.11333,0.21413,2.0,0.0,0.0,0.0
521,459.9999,3.46,0.24908,2.0,0.0,0.0,0.0
522,469.9999,3.35333,0.24094,2.0,0.0,0.0,0.0
523,479.9999,3.5533300000000003,0.30527,2.0,0.0,0.0,0.0
